crop,model,percent,year,rmse
maize,history,10,2002,0.7095266075784907
maize,history,10,2003,1.179529651145773
maize,history,10,2004,0.8395243258379725
maize,history,10,2006,0.6525212365139417
maize,history,10,2007,0.754434817540883
maize,history,10,2008,0.7349058874647059
maize,history,10,2010,0.7691459837572167
maize,history,10,2011,0.8074875280584617
maize,history,10,2012,1.139504359056512
maize,history,10,2013,0.8080479336691562
maize,history,10,2014,0.7743647115837157
maize,history,10,2015,1.524710954219872
maize,history,10,2016,0.7234732290179333
maize,ridge,10,2002,0.6359459823567939
maize,ridge,10,2003,1.773041648229441
maize,ridge,10,2004,1.2353783696198588
maize,ridge,10,2006,0.7140913936863527
maize,ridge,10,2007,0.8004112526957787
maize,ridge,10,2008,0.847967441110409
maize,ridge,10,2010,0.7583006238723173
maize,ridge,10,2011,0.7792659072926937
maize,ridge,10,2012,1.0661065240911356
maize,ridge,10,2013,0.9135177617303322
maize,ridge,10,2014,0.8147513150158346
maize,ridge,10,2015,1.5148843685267142
maize,ridge,10,2016,0.8766830113225522
maize,random_forest,10,2002,0.639918212005515
maize,random_forest,10,2003,1.0687525696935025
maize,random_forest,10,2004,0.8156888493164038
maize,random_forest,10,2006,0.6343106207509009
maize,random_forest,10,2007,0.7035779821170013
maize,random_forest,10,2008,0.6685777336653991
maize,random_forest,10,2010,0.7222621528463319
maize,random_forest,10,2011,0.8066552431695952
maize,random_forest,10,2012,1.0708653468403209
maize,random_forest,10,2013,0.8405055930784004
maize,random_forest,10,2014,0.7766875085069673
maize,random_forest,10,2015,1.5713419880882316
maize,random_forest,10,2016,0.7284149972730714
maize,lightgbm,10,2002,0.6072934909426048
maize,lightgbm,10,2003,1.1423608816756434
maize,lightgbm,10,2004,0.8114913416100585
maize,lightgbm,10,2006,0.6301994006377576
maize,lightgbm,10,2007,0.7176281062787999
maize,lightgbm,10,2008,0.7053105559297426
maize,lightgbm,10,2010,0.6895403790917715
maize,lightgbm,10,2011,0.8037818925944026
maize,lightgbm,10,2012,1.0701768556870808
maize,lightgbm,10,2013,0.8176351389566753
maize,lightgbm,10,2014,0.7348419797549265
maize,lightgbm,10,2015,1.571127429450569
maize,lightgbm,10,2016,0.6730750180346887
maize,gru,10,2002,0.6188116021274426
maize,gru,10,2003,1.436463943021806
maize,gru,10,2004,0.7280105900080943
maize,gru,10,2006,0.6984719042455633
maize,gru,10,2007,0.758414500844146
maize,gru,10,2008,0.7185873465787713
maize,gru,10,2010,0.7140026995258089
maize,gru,10,2011,0.7953400051772751
