crop,method,year,rmse
maize,global_mean,2002,3.885475198658234
maize,global_mean,2003,3.746445500732455
maize,global_mean,2004,4.192561380526868
maize,global_mean,2006,4.048258891610598
maize,global_mean,2007,4.068403974159751
maize,global_mean,2008,4.153937440467979
maize,global_mean,2010,4.115974408388726
maize,global_mean,2011,4.203168147751871
maize,global_mean,2012,3.8451315126765957
maize,global_mean,2013,4.403247896482072
maize,global_mean,2014,4.761141056062882
maize,global_mean,2015,4.949137723310942
maize,global_mean,2016,4.715603850171536
maize,grid_climatology,2002,1.137193191329783
maize,grid_climatology,2003,1.8143276407688274
maize,grid_climatology,2004,1.4382594487171958
maize,grid_climatology,2006,1.2426585887049013
maize,grid_climatology,2007,1.3408243726034392
maize,grid_climatology,2008,1.449412757934058
maize,grid_climatology,2010,1.4934282139521102
maize,grid_climatology,2011,1.387440137067282
maize,grid_climatology,2012,1.3350821271604927
maize,grid_climatology,2013,1.669456617773682
maize,grid_climatology,2014,1.8549186078331432
maize,grid_climatology,2015,2.4274688993554943
maize,grid_climatology,2016,1.7316765041369095
maize,previous_year,2002,0.7308002401788442
maize,previous_year,2003,1.6276905215430806
maize,previous_year,2004,0.9544325969095812
maize,previous_year,2006,0.6945312519364863
maize,previous_year,2007,0.8766635160162387
maize,previous_year,2008,0.9650898100033578
maize,previous_year,2010,0.9737357467757808
maize,previous_year,2011,0.9392028443201759
maize,previous_year,2012,0.8920368499594417
maize,previous_year,2013,1.2475121365196047
maize,previous_year,2014,0.8140723988415502
maize,previous_year,2015,1.503772110677572
maize,previous_year,2016,1.5489876398717248
maize,rolling_mean_3,2002,0.686576362021255
maize,rolling_mean_3,2003,1.5905497478821062
maize,rolling_mean_3,2004,0.8973994467603776
maize,rolling_mean_3,2006,0.6536248992420508
maize,rolling_mean_3,2007,0.7776048206001519
maize,rolling_mean_3,2008,0.8044425254286369
maize,rolling_mean_3,2010,0.7891796464165942
maize,rolling_mean_3,2011,0.7561385505415932
maize,rolling_mean_3,2012,1.012185523625145
maize,rolling_mean_3,2013,0.9198981836023207
maize,rolling_mean_3,2014,1.0054170298980132
maize,rolling_mean_3,2015,1.4688762668010176
maize,rolling_mean_3,2016,0.7560285243592224
maize,rolling_mean_5,2002,0.669358641888464
maize,rolling_mean_5,2003,1.5875934173381774
maize,rolling_mean_5,2004,0.929128127399634
maize,rolling_mean_5,2006,0.6584158769162243
maize,rolling_mean_5,2007,0.7511010437185478
maize,rolling_mean_5,2008,0.8330775377618463
maize,rolling_mean_5,2010,0.8131546136145488
maize,rolling_mean_5,2011,0.7485326426704602
maize,rolling_mean_5,2012,1.0044179975058227
maize,rolling_mean_5,2013,0.8717814923303132
maize,rolling_mean_5,2014,0.8966646453669569
maize,rolling_mean_5,2015,1.5501006672604203
maize,rolling_mean_5,2016,0.8043380795667989
maize,exponential_smoothing,2002,0.6539555933279746
maize,exponential_smoothing,2003,1.5894281278452844
maize,exponential_smoothing,2004,0.8926664112583051
maize,exponential_smoothing,2006,0.6288185844224008
maize,exponential_smoothing,2007,0.7657789328399868
maize,exponential_smoothing,2008,0.8166838054937473
maize,exponential_smoothing,2010,0.8112666176440779
maize,exponential_smoothing,2011,0.7719301740645367
maize,exponential_smoothing,2012,0.9307714718649884
maize,exponential_smoothing,2013,0.972221752353408
maize,exponential_smoothing,2014,0.8978005541884556
maize,exponential_smoothing,2015,1.4555314974951066
maize,exponential_smoothing,2016,0.8979287834677346
maize,linear_trend,2002,0.6815424977137959
maize,linear_trend,2003,1.603908339837534
maize,linear_trend,2004,0.8739528486973281
maize,linear_trend,2006,0.6751082679441971
maize,linear_trend,2007,0.7528491823355089
maize,linear_trend,2008,0.8782730309587874
maize,linear_trend,2010,0.8469976925712761
maize,linear_trend,2011,0.8740003266697923
maize,linear_trend,2012,1.1902341986285154
maize,linear_trend,2013,0.9855909226810851
maize,linear_trend,2014,0.8843162079630756
maize,linear_trend,2015,1.5823789827535688
maize,linear_trend,2016,0.7572712395369814
maize,linear_regression,2002,0.6905601138091225
maize,linear_regression,2003,1.5879797240002846
maize,linear_regression,2004,0.8847442500175721
maize,linear_regression,2006,0.6565726978181954
maize,linear_regression,2007,0.7867524520124151
maize,linear_regression,2008,0.8332926079566942
maize,linear_regression,2010,0.7727465303400011
maize,linear_regression,2011,0.8067880914217713
maize,linear_regression,2012,1.1491000737219326
maize,linear_regression,2013,0.8813566000057776
maize,linear_regression,2014,0.780679091691283
maize,linear_regression,2015,1.5009240014264962
maize,linear_regression,2016,0.8186918013497412
maize,ridge,2002,0.6907370924224107
maize,ridge,2003,1.5870059745127454
maize,ridge,2004,0.883352214220493
maize,ridge,2006,0.6567291082522402
maize,ridge,2007,0.7866678606841543
maize,ridge,2008,0.8333439942448668
maize,ridge,2010,0.7727919856892266
maize,ridge,2011,0.8070979592144115
maize,ridge,2012,1.149668459336216
maize,ridge,2013,0.8814642362984159
maize,ridge,2014,0.7807012432947897
maize,ridge,2015,1.5009499959260562
maize,ridge,2016,0.8179190385743748
maize,lasso,2002,0.6933016020783052
maize,lasso,2003,1.529185250208401
maize,lasso,2004,0.8477730567167201
maize,lasso,2006,0.6573362279018388
maize,lasso,2007,0.7828033917220767
maize,lasso,2008,0.835681165261504
maize,lasso,2010,0.7764797977276855
maize,lasso,2011,0.816069187269024
maize,lasso,2012,1.1635479365980952
maize,lasso,2013,0.8854104252492313
maize,lasso,2014,0.782433306125162
maize,lasso,2015,1.5045982490152998
maize,lasso,2016,0.8018439803051589
maize,elastic_net,2002,0.693742319012052
maize,elastic_net,2003,1.537417021107591
maize,elastic_net,2004,0.846094547980973
maize,elastic_net,2006,0.658592918285412
maize,elastic_net,2007,0.784323861884
maize,elastic_net,2008,0.8351978768179693
maize,elastic_net,2010,0.7754919099645484
maize,elastic_net,2011,0.8152088266057933
maize,elastic_net,2012,1.163293645634985
maize,elastic_net,2013,0.885223177365916
maize,elastic_net,2014,0.7824826981610863
maize,elastic_net,2015,1.5036371935174353
maize,elastic_net,2016,0.8017294921025203
maize,huber,2002,0.6692334975765125
maize,huber,2003,1.5464857762124362
maize,huber,2004,0.8550713826230156
maize,huber,2006,0.6398843073751525
maize,huber,2007,0.7768877942315414
maize,huber,2008,0.8804461042247003
maize,huber,2010,0.7873935758091967
maize,huber,2011,0.7974686480774108
maize,huber,2012,1.1300436007215264
maize,huber,2013,0.898354238754753
maize,huber,2014,0.8067720806966526
maize,huber,2015,1.5063327657891352
maize,huber,2016,0.974370854434341
maize,linear_svr,2002,0.6905717230765474
maize,linear_svr,2003,1.5879419457875488
maize,linear_svr,2004,0.884687092949918
maize,linear_svr,2006,0.65658342377829
maize,linear_svr,2007,0.7867445359808203
maize,linear_svr,2008,0.8332960547828885
maize,linear_svr,2010,0.7727347115072883
maize,linear_svr,2011,0.8068024692100211
maize,linear_svr,2012,1.1491140309555947
maize,linear_svr,2013,0.881360295520354
maize,linear_svr,2014,0.7806571715922762
maize,linear_svr,2015,1.500919020558711
maize,linear_svr,2016,0.818677023502953
maize,approximate_knn,2002,0.7924754615671814
maize,approximate_knn,2003,1.1958527920318511
maize,approximate_knn,2004,1.034275474842781
maize,approximate_knn,2006,0.712053229207212
maize,approximate_knn,2007,0.8752278556874858
maize,approximate_knn,2008,0.7750750887870267
maize,approximate_knn,2010,0.8858012233822928
maize,approximate_knn,2011,0.9259257490173202
maize,approximate_knn,2012,1.2593958475834732
maize,approximate_knn,2013,0.9176164389094611
maize,approximate_knn,2014,0.8044764983929252
maize,approximate_knn,2015,1.6694108129171348
maize,approximate_knn,2016,0.8470179962119075
maize,decision_tree,2002,0.7900288790255495
maize,decision_tree,2003,1.1782829526555254
maize,decision_tree,2004,0.9556303774444682
maize,decision_tree,2006,0.7874814227810916
maize,decision_tree,2007,0.8465397513920504
maize,decision_tree,2008,0.8599276526944047
maize,decision_tree,2010,0.9360503817208994
maize,decision_tree,2011,0.9860682951199783
maize,decision_tree,2012,1.3299702043679524
maize,decision_tree,2013,0.9655706142067563
maize,decision_tree,2014,0.9011474309557156
maize,decision_tree,2015,1.6596193371044663
maize,decision_tree,2016,0.9610966663096787
maize,random_forest,2002,0.7252014319265668
maize,random_forest,2003,1.1018726892124302
maize,random_forest,2004,0.8927002946305885
maize,random_forest,2006,0.6635987919182138
maize,random_forest,2007,0.7741067279802749
maize,random_forest,2008,0.6947821255738194
maize,random_forest,2010,0.8778036568585796
maize,random_forest,2011,0.8804858851112246
maize,random_forest,2012,1.257750340730783
maize,random_forest,2013,0.8669471031993884
maize,random_forest,2014,0.7716924574860169
maize,random_forest,2015,1.6092272823279026
maize,random_forest,2016,0.7806704610076144
maize,extra_trees,2002,0.6944007963361928
maize,extra_trees,2003,1.0339738200408477
maize,extra_trees,2004,0.9144096484902157
maize,extra_trees,2006,0.6473976556366268
maize,extra_trees,2007,0.7841941459865752
maize,extra_trees,2008,0.7296731209464989
maize,extra_trees,2010,0.844210957448243
maize,extra_trees,2011,0.8569777224436106
maize,extra_trees,2012,1.2468593628195814
maize,extra_trees,2013,0.87963645021679
maize,extra_trees,2014,0.7388986004693641
maize,extra_trees,2015,1.5892669083476996
maize,extra_trees,2016,0.7753161761259038
maize,hist_gradient_boosting,2002,0.674487820663486
maize,hist_gradient_boosting,2003,1.2373062839174718
maize,hist_gradient_boosting,2004,0.8818798251563044
maize,hist_gradient_boosting,2006,0.6655125610110464
maize,hist_gradient_boosting,2007,0.7864938182667066
maize,hist_gradient_boosting,2008,0.7041054525205039
maize,hist_gradient_boosting,2010,0.8113003653384012
maize,hist_gradient_boosting,2011,0.8397362258911175
maize,hist_gradient_boosting,2012,1.234726068576573
maize,hist_gradient_boosting,2013,0.8429904765712206
maize,hist_gradient_boosting,2014,0.7339119915111559
maize,hist_gradient_boosting,2015,1.5531663951955534
maize,hist_gradient_boosting,2016,0.755234847380084
maize,lightgbm,2002,0.6742096214544802
maize,lightgbm,2003,1.2101520046404308
maize,lightgbm,2004,0.8779923598445356
maize,lightgbm,2006,0.6530432982762787
maize,lightgbm,2007,0.7581877874428569
maize,lightgbm,2008,0.7310556409747991
maize,lightgbm,2010,0.7977404901197424
maize,lightgbm,2011,0.8305458738695702
maize,lightgbm,2012,1.1982955520180318
maize,lightgbm,2013,0.8869145684788484
maize,lightgbm,2014,0.8151038342550114
maize,lightgbm,2015,1.5584736149300444
maize,lightgbm,2016,0.7403250448739879
maize,xgboost,2002,0.6798551967128273
maize,xgboost,2003,1.1956072737074959
maize,xgboost,2004,0.8737736635742709
maize,xgboost,2006,0.6580485597871781
maize,xgboost,2007,0.7480404082656387
maize,xgboost,2008,0.7452266877244487
maize,xgboost,2010,0.8107146072297133
maize,xgboost,2011,0.8445452005896222
maize,xgboost,2012,1.2044243610307952
maize,xgboost,2013,0.9015587745171737
maize,xgboost,2014,0.8358758470459049
maize,xgboost,2015,1.558361491161456
maize,xgboost,2016,0.7501450796424937
maize,mlp,2002,0.6914886567125695
maize,mlp,2003,1.1973656293169523
maize,mlp,2004,0.8296057151965353
maize,mlp,2006,0.7683518996468137
maize,mlp,2007,0.8538686035569399
maize,mlp,2008,0.7870544303154209
maize,mlp,2010,0.753141826678846
maize,mlp,2011,0.797723934673466
maize,mlp,2012,1.1275378976722905
maize,mlp,2013,0.8051251195123004
maize,mlp,2014,0.7639160300515365
maize,mlp,2015,1.4583630704227704
maize,mlp,2016,0.8486938970340258
maize,rnn,2002,0.6654505838145789
maize,rnn,2003,1.355384287773789
maize,rnn,2004,0.833120801956456
maize,rnn,2006,0.7111893838163861
maize,rnn,2007,0.7783755089505489
maize,rnn,2008,0.79112598381609
maize,rnn,2010,0.7643104101948441
maize,rnn,2011,0.8365189997023793
maize,rnn,2012,1.1668513213443716
maize,rnn,2013,0.8405606406625926
maize,rnn,2014,0.733987352619447
maize,rnn,2015,1.463356227759398
maize,rnn,2016,0.87432113604979
maize,lstm,2002,0.6577849946856611
maize,lstm,2003,1.3623681514627595
maize,lstm,2004,0.856157432171184
maize,lstm,2006,0.6725822620518813
maize,lstm,2007,0.7648759958088114
maize,lstm,2008,0.814817635963117
maize,lstm,2010,0.7654639906955227
maize,lstm,2011,0.8174037415069579
maize,lstm,2012,1.1784540645539083
maize,lstm,2013,0.8295940136260516
maize,lstm,2014,0.7145846733131234
maize,lstm,2015,1.4461961698127832
maize,lstm,2016,0.8727784863899081
maize,tcn,2002,0.7060053650214965
maize,tcn,2003,1.1878667899657376
maize,tcn,2004,0.8009746617771539
maize,tcn,2006,0.7586984819877667
maize,tcn,2007,0.8191665464121005
maize,tcn,2008,0.8415560152628349
maize,tcn,2010,0.7642523239983129
maize,tcn,2011,0.7904611665218442
maize,tcn,2012,1.1543119712225043
maize,tcn,2013,0.8529024917026591
maize,tcn,2014,0.7817390670446492
maize,tcn,2015,1.4746006177603452
maize,tcn,2016,0.7476548083226292
maize,gru,2002,0.653385570915183
maize,gru,2003,1.410377227898383
maize,gru,2004,0.8585243995172794
maize,gru,2006,0.7056041130781254
maize,gru,2007,0.7957806189379781
maize,gru,2008,0.8298384694829686
maize,gru,2010,0.7653420673130641
maize,gru,2011,0.8014638966629616
maize,gru,2012,1.124700972693102
maize,gru,2013,0.8399064127600262
maize,gru,2014,0.7287184764911898
maize,gru,2015,1.4578654957462476
maize,gru,2016,0.8384816701375776
maize,transformer,2002,0.6815074130270284
maize,transformer,2003,1.15547780653901
maize,transformer,2004,0.8415844037017193
maize,transformer,2006,0.7013597801622212
maize,transformer,2007,0.7856407640489584
maize,transformer,2008,0.8384796307414246
maize,transformer,2010,0.7724410875412312
