unobserved_fraction,method,crop,rmse,seed_sd
0.10,Random Forest,maize,0.8509,0.0011
0.10,Random Forest,rice,0.7699,0.0023
0.10,Random Forest,soybean,0.3123,0.0003
0.10,Random Forest,wheat,0.8091,0.0030
0.10,LightGBM,maize,0.8459,0.0038
0.10,LightGBM,rice,0.7826,0.0033
0.10,LightGBM,soybean,0.3129,0.0007
0.10,LightGBM,wheat,0.7885,0.0053
0.10,PhenoBIID,maize,0.8440,0.0031
0.10,PhenoBIID,rice,0.7545,0.0013
0.10,PhenoBIID,soybean,0.2992,0.0037
0.10,PhenoBIID,wheat,0.7639,0.0007
0.30,Random Forest,maize,0.8618,0.0023
0.30,Random Forest,rice,0.7694,0.0003
0.30,Random Forest,soybean,0.3134,0.0001
0.30,Random Forest,wheat,0.8060,0.0023
0.30,LightGBM,maize,0.8474,0.0036
0.30,LightGBM,rice,0.7827,0.0018
0.30,LightGBM,soybean,0.3147,0.0002
0.30,LightGBM,wheat,0.7892,0.0032
0.30,PhenoBIID,maize,0.8464,0.0034
0.30,PhenoBIID,rice,0.7578,0.0010
0.30,PhenoBIID,soybean,0.3024,0.0036
0.30,PhenoBIID,wheat,0.7661,0.0012
0.50,Random Forest,maize,0.8713,0.0012
0.50,Random Forest,rice,0.7749,0.0010
0.50,Random Forest,soybean,0.3223,0.0003
0.50,Random Forest,wheat,0.8055,0.0008
0.50,LightGBM,maize,0.8552,0.0024
0.50,LightGBM,rice,0.7908,0.0032
0.50,LightGBM,soybean,0.3207,0.0012
0.50,LightGBM,wheat,0.7793,0.0035
0.50,PhenoBIID,maize,0.8512,0.0034
0.50,PhenoBIID,rice,0.7610,0.0011
0.50,PhenoBIID,soybean,0.3055,0.0029
0.50,PhenoBIID,wheat,0.7717,0.0007
0.70,Random Forest,maize,0.8789,0.0002
0.70,Random Forest,rice,0.7784,0.0009
0.70,Random Forest,soybean,0.3234,0.0003
0.70,Random Forest,wheat,0.8107,0.0017
0.70,LightGBM,maize,0.8689,0.0006
0.70,LightGBM,rice,0.7988,0.0010
0.70,LightGBM,soybean,0.3243,0.0008
0.70,LightGBM,wheat,0.8248,0.0010
0.70,PhenoBIID,maize,0.8584,0.0023
0.70,PhenoBIID,rice,0.7676,0.0021
0.70,PhenoBIID,soybean,0.3118,0.0030
0.70,PhenoBIID,wheat,0.7794,0.0010
