crop,product,unobserved_fraction,biid,gru,no_observed_feedback,historical_mean,previous_trajectory,last_visible
maize,gpp,0.10,0.5232,0.6219,0.6462,0.7370,0.6815,1.2565
maize,gpp,0.30,0.5259,0.6310,0.6359,0.7574,0.7007,1.4630
maize,gpp,0.50,0.5253,0.6253,0.6299,0.7597,0.7022,1.4963
rice,ndvi,0.10,0.0365,0.0461,0.0460,0.0476,0.0456,0.0980
rice,ndvi,0.30,0.0380,0.0460,0.0461,0.0465,0.0464,0.1103
rice,ndvi,0.50,0.0393,0.0472,0.0473,0.0471,0.0476,0.1222
soybean,ndvi,0.10,0.0405,0.0487,0.0490,0.0471,0.0532,0.0996
soybean,ndvi,0.30,0.0411,0.0493,0.0495,0.0481,0.0541,0.1153
soybean,ndvi,0.50,0.0415,0.0495,0.0494,0.0481,0.0538,0.1428
wheat,ndvi,0.10,0.0391,0.0556,0.0539,0.0549,0.0537,0.1031
wheat,ndvi,0.30,0.0400,0.0524,0.0516,0.0556,0.0536,0.1785
wheat,ndvi,0.50,0.0404,0.0520,0.0513,0.0554,0.0543,0.1481
wheat,gpp,0.10,0.3326,0.4864,0.5053,0.5704,0.4741,1.5556
wheat,gpp,0.30,0.4171,0.6130,0.6119,0.6249,0.5621,2.9107
wheat,gpp,0.50,0.4427,0.5971,0.5991,0.6570,0.5963,2.3537
